Company Name,Ticker Symbol
Reliance Industries,RELIANCE.NS
Tata Consultancy Services,TCS.NS
HDFC Bank,HDFCBANK.NS
ICICI Bank,ICICIBANK.NS
Infosys,INFY.NS
Hindustan Unilever,HINDUNILVR.NS
ITC,ITC.NS
State Bank of India,SBIN.NS
Bharti Airtel,BHARTIARTL.NS
Kotak Mahindra Bank,KOTAKBANK.NS
Larsen & Toubro,LT.NS
Bajaj Finance,BAJFINANCE.NS
Asian Paints,ASIANPAINT.NS
HCL Technologies,HCLTECH.NS
Axis Bank,AXISBANK.NS
Maruti Suzuki,MARUTI.NS
Sun Pharma,SUNPHARMA.NS
Wipro,WIPRO.NS
NTPC,NTPC.NS
UltraTech Cement,ULTRACEMCO.NS
Nestle India,NESTLEIND.NS
Power Grid Corp,POWERGRID.NS
Tata Steel,TATASTEEL.NS
Mahindra & Mahindra,M&M.NS
Titan Company,TITAN.NS
Bajaj Finserv,BAJAJFINSV.NS
JSW Steel,JSWSTEEL.NS
Tech Mahindra,TECHM.NS
Tata Motors,TATAMOTORS.NS
Divi's Laboratories,DIVISLAB.NS
Grasim Industries,GRASIM.NS
HDFC Life,HDFCLIFE.NS
Adani Enterprises,ADANIENT.NS
Adani Ports,ADANIPORTS.NS
Cipla,CIPLA.NS
Dr. Reddy's Labs,DRREDDY.NS
Bajaj Auto,BAJAJ-AUTO.NS
IndusInd Bank,INDUSINDBK.NS
Britannia,BRITANNIA.NS
Hindalco,HINDALCO.NS
SBI Life,SBILIFE.NS
Coal India,COALINDIA.NS
Dabur India,DABUR.NS
Pidilite Industries,PIDILITIND.NS
Eicher Motors,EICHERMOT.NS
Godrej Consumer,GODREJCP.NS
Shree Cement,SHREECEM.NS
Zomato,ZOMATO.NS
Tata Power,TATAPOWER.NS
DLF,DLF.NS
